workload,baseline,policy,scheduler_policy,load_balancer,load_balancer_policy,arrival_rate,engines,programs,calls,makespan,prefetched_calls,throughput,avg_token_latency,avg_critical_path_token_latency,p95_token_latency,p99_token_latency,avg_response_time,p95_response_time,p99_response_time,total_wait_time,total_execution_time,total_prefill_time,total_decode_time,total_swap_time,total_scheduler_time,avg_engine_utilization,status
sharegpt,vllm,fcfs,fcfs,least-used,least-used,0.2,1,2,5,40,0,0.05,0.020624557141411072,0.020624557141411072,0.02252252252252252,0.02252252252252252,22.5,40,40,0,45,6,39,0,0,0.140625,ok
sharegpt,vllm-opt,fcfs,fcfs,least-used,least-used,0.2,1,2,5,39,0,0.05128205128205128,0.020390474744407326,0.020390474744407326,0.02252252252252252,0.02252252252252252,22,39,39,0,44,5,39,0,0,0.14102564102564102,ok
sharegpt,mlfq,mlfq,mlfq,least-used,least-used,0.2,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,28,5,0.14244186046511628,ok
sharegpt,autellix,plas,plas,autellix,autellix,0.2,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.14244186046511628,ok
bfcl,vllm,fcfs,fcfs,least-used,least-used,0.2,1,2,20,47,0,0.0425531914893617,0.07385345339456238,0.07385345339456238,0.07648183556405354,0.07648183556405354,32.5,40,40,0,65,42,23,0,0,0.17287234042553193,ok
bfcl,vllm-opt,fcfs,fcfs,least-used,least-used,0.2,1,2,20,32,0,0.0625,0.04954159925479237,0.04954159925479237,0.05128205128205128,0.05128205128205128,21.5,25,25,0,43,20,23,0,0,0.16796875,ok
bfcl,mlfq,mlfq,mlfq,least-used,least-used,0.2,1,2,20,44,0,0.045454545454545456,0.07240988598541179,0.07240988598541179,0.07407407407407407,0.07407407407407407,31.5,37,37,0,63,20,23,46,20,0.17897727272727273,ok
bfcl,autellix,plas,plas,autellix,autellix,0.2,1,2,20,44,0,0.045454545454545456,0.07240988598541179,0.07240988598541179,0.07407407407407407,0.07407407407407407,31.5,37,37,0,63,20,23,4,20,0.17897727272727273,ok
sharegpt,round-robin,plas,plas,round-robin,round-robin,0.4,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.14244186046511628,ok
sharegpt,least-used,plas,plas,least-used,least-used,0.4,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.14244186046511628,ok
sharegpt,autellix,plas,plas,autellix,autellix,0.4,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.14244186046511628,ok
sharegpt,round-robin,plas,plas,round-robin,round-robin,0.4,2,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.07122093023255814,ok
sharegpt,least-used,plas,plas,least-used,least-used,0.4,2,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.07122093023255814,ok
sharegpt,autellix,plas,plas,autellix,autellix,0.4,2,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.07122093023255814,ok
sharegpt,fcfs,fcfs,fcfs,least-used,least-used,0.5,1,2,5,59,0,0.03389830508474576,0.027324374936734487,0.027324374936734487,0.02762172284644195,0.02762172284644195,32.5,59,59,0,65,0,65,0,0,0.13771186440677965,ok
sharegpt,round-robin,round-robin,round-robin,round-robin,round-robin,0.5,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,44,5,0.14244186046511628,ok
sharegpt,mlfq,mlfq,mlfq,least-used,least-used,0.5,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,28,5,0.14244186046511628,ok
sharegpt,autellix,plas,plas,autellix,autellix,0.5,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,6,5,0.14244186046511628,ok
sharegpt,srpt,srpt,srpt,autellix,autellix,0.5,1,2,5,43,0,0.046511627906976744,0.023579056584674563,0.023579056584674563,0.02702702702702703,0.02702702702702703,24.5,43,43,0,49,5,39,2,5,0.14244186046511628,ok
